Дата свершения транзакции;Идентификатор акции;Маркер контрольной группы;Идентификатор клиента;Идентификатор свершенной транзакции;Оборот по транзакции (рубли + бонусы);Оборот по транзакции (рубли);Сумма начисленных бонусов по транзакции
02.01.2020 17:10;Целевая 6% на Отток;false;212933236;106989004416;352;176,57;5,30
17.12.2019 12:01;Контрольная 7% на Новых;true;247135596;105374806841;62;62,01;1,86
05.12.2019 11:39;Целевая 6% на Отток;false;234967813;104137018370;164;163,86;9,83
09.12.2019 16:41;Целевая 7% на Новых;false;213648274;104577635297;2 403;2 402,76;168,19
11.12.2019 19:40;Целевая 7% на Новых;false;235025194;104807687619;267;134,19;9,39
11.12.2019 18:34;Целевая 6% на Отток;false;253896525;104800707861;2 490;2 305,97;138,35
19.12.2019 15:31;Целевая 6% на Отток;false;212869167;105556054934;155;78,54;2,36
30.12.2019 15:28;Целевая 7% на Новых;false;240500059;106791812285;97;97,47;6,82
14.12.2019 14:31;Целевая 7% на Новых;false;248721837;105115426898;1 724;1 571,61;47,15
27.12.2019 16:24;Целевая 7% на Новых;false;213409453;106452092106;57;57,07;4,00
10.12.2019 18:02;Целевая 7% на Новых;false;219540372;104706702401;14;14,13;0,99
03.12.2019 18:09;Целевая 7% на Новых;false;290456647;103940605595;97;49,44;3,46
31.12.2019 13:28;Контрольная 7% на Новых;true;213314483;106901980802;83;83,34;2,50
12.12.2019 20:30;Контрольная 6% на Отток;true;236034982;104929211650;1 114;1 091,03;32,73
04.12.2019 17:41;Целевая 7% на Новых;false;255631252;104040089934;929;464,73;32,53
29.12.2019 15:37;Целевая 7% на Новых;false;212987647;106695627824;804;401,87;28,14
24.12.2019 15:11;Целевая 7% на Новых;false;212482756;106119401818;394;394,10;27,59
02.01.2020 14:29;Целевая 7% на Новых;false;243817080;106986949374;1 030;515,58;36,09
02.01.2020 13:17;Целевая 7% на Новых;false;213413263;106986202937;677;339,01;23,73
03.01.2020 17:13;Целевая 7% на Новых;false;260135124;107021856667;138;69,22;4,85
17.12.2019 15:05;Целевая 7% на Новых;false;242946695;105388694631;428;427,75;29,93
06.12.2019 17:23;Целевая 7% на Новых;false;212163593;104259442580;3 308;1 654,10;115,79
19.12.2019 19:05;Контрольная 6% на Отток;true;219797586;105576392669;271;135,61;4,07
19.12.2019 16:19;Целевая 7% на Новых;false;219755905;105560504571;55;55,09;3,86
25.12.2019 10:15;Целевая 7% на Новых;false;235190729;106193743794;545;272,62;19,08
14.12.2019 13:40;Целевая 7% на Новых;false;246114831;105110524364;3 680;2 834,33;85,04
27.12.2019 18:38;Контрольная 6% на Отток;true;238035827;106464986366;309;154,67;4,65
21.12.2019 13:30;Целевая 7% на Новых;false;297242585;105799618908;122;122,19;8,56
21.12.2019 19:35;Целевая 7% на Новых;false;219921548;105832631111;182;182,22;12,76
08.12.2019 12:12;Целевая 7% на Новых;false;233963431;104448803436;1 468;1 158,30;81,08
07.12.2019 13:38;Целевая 7% на Новых;false;249955321;104367675415;103;103,12;7,22
03.01.2020 17:48;Целевая 7% на Новых;false;213182288;107025456093;239;120,07;8,40
17.12.2019 13:10;Целевая 7% на Новых;false;236426121;105378732818;71;71,19;4,99
01.01.2020 10:21;Целевая 7% на Новых;false;247888704;106976005753;126;125,72;8,80
28.12.2019 13:48;Целевая 7% на Новых;false;238708331;106566509492;3;2,83;0,20
15.12.2019 17:36;Целевая 7% на Новых;false;213846202;105211607432;467;308,36;21,58
06.12.2019 10:32;Целевая 7% на Новых;false;219344494;104221861012;141;70,63;4,94
19.12.2019 8:45;Целевая 7% на Новых;false;213523840;105530564151;1 004;502,87;35,20
19.12.2019 19:22;Целевая 7% на Новых;false;223867977;105578224804;717;358,79;10,76
25.12.2019 17:11;Целевая 7% на Новых;false;223586152;106226279689;59;59,33;4,15
13.12.2019 11:45;Целевая 7% на Новых;false;213286064;104991181771;27;26,84;0,81
15.12.2019 15:53;Целевая 6% на Отток;false;213295348;105202393459;35;18,36;1,10
19.12.2019 12:45;Целевая 6% на Отток;false;212883343;105541444173;1 223;892,74;53,56
17.12.2019 18:17;Целевая 7% на Новых;false;223251227;105404792741;700;350,31;24,52
13.12.2019 17:26;Целевая 7% на Новых;false;214093094;105019216622;267;134,19;9,39
18.12.2019 13:56;Целевая 7% на Новых;false;206744657;105463903234;1 200;671,39;47,00
15.12.2019 12:05;Целевая 7% на Новых;false;207893996;105185344381;203;203,27;14,24
31.12.2019 15:25;Целевая 6% на Отток;false;213402667;106911888721;192;191,68;11,50
14.12.2019 16:05;Целевая 7% на Новых;false;202408505;105124656525;96;96,05;6,72
27.12.2019 14:40;Целевая 7% на Новых;false;256666360;106442007611;40;39,55;2,77
16.12.2019 12:44;Целевая 7% на Новых;false;246845045;105270710713;445;222,48;15,58
12.12.2019 14:30;Целевая 7% на Новых;false;235025194;104894720197;1 312;656,84;19,71
04.12.2019 13:03;Целевая 7% на Новых;false;212716029;104010667891;184;91,82;6,43
04.12.2019 10:16;Целевая 7% на Новых;false;232757965;103998283623;1 002;545,25;38,17
29.12.2019 12:25;Целевая 7% на Новых;false;239003418;106679621509;400;296,78;8,90
24.12.2019 15:51;Целевая 6% на Отток;false;221148975;106123395843;465;233,07;13,98
03.12.2019 11:50;Целевая 7% на Новых;false;242010397;103901990333;55;55,09;3,86
18.12.2019 11:30;Целевая 7% на Новых;false;213407693;105454014895;536;267,89;18,76
11.12.2019 13:37;Целевая 6% на Отток;false;221687323;104772783951;267;133,27;8,00
25.12.2019 9:49;Целевая 7% на Новых;false;280538830;106192825883;42;42,38;2,97
29.12.2019 13:17;Целевая 7% на Новых;false;252823955;106683530420;261;261,32;7,84
07.12.2019 11:24;Целевая 6% на Отток;false;227759666;104357496831;263;131,37;7,88
03.01.2020 17:33;Целевая 7% на Новых;false;227058587;107023724423;449;449,19;13,48
17.12.2019 19:38;Целевая 7% на Новых;false;223867977;105411540305;818;409,64;12,29
17.12.2019 18:39;Целевая 7% на Новых;false;250859536;105406010682;41;40,96;2,87
05.12.2019 15:37;Целевая 7% на Новых;false;212686135;104155808007;23;22,60;0,68
03.12.2019 15:37;Целевая 6% на Отток;false;202472867;103925257169;420;210,89;12,66
03.12.2019 12:30;Целевая 7% на Новых;false;213578867;103905809428;1 796;898,81;62,92
18.12.2019 14:10;Целевая 7% на Новых;false;230112369;105465033516;7;7,06;0,49
18.12.2019 18:24;Целевая 6% на Отток;false;213374054;105486698994;218;108,77;3,26
31.12.2019 9:06;Целевая 7% на Новых;false;213674193;106880145982;83;83,34;5,83
06.12.2019 13:45;Целевая 7% на Новых;false;235392949;104239138646;325;162,44;11,37
21.12.2019 17:45;Целевая 7% на Новых;false;243115672;105822375914;1 708;1 017,04;71,19
10.12.2019 18:31;Целевая 7% на Новых;false;212838538;104709329848;283;141,26;9,89
29.12.2019 11:16;Целевая 7% на Новых;false;212676505;106675129117;140;70,63;2,12
02.01.2020 9:34;Целевая 7% на Новых;false;246643406;106984598903;14;14,13;0,99
13.12.2019 13:02;Контрольная 6% на Отток;true;213414350;104996249340;1 385;693,00;20,79
09.12.2019 13:18;Целевая 6% на Отток;false;278986471;104551302611;828;433,65;26,02
18.12.2019 12:14;Контрольная 7% на Новых;true;239553242;105456759711;774;702,04;21,06
19.12.2019 12:09;Целевая 7% на Новых;false;239794538;105538984319;69;68,76;4,82
30.12.2019 12:58;Целевая 6% на Отток;false;235880763;106780047445;81;40,26;2,43
27.12.2019 15:45;Целевая 7% на Новых;false;212833031;106447943327;2 255;1 127,71;33,83
20.12.2019 19:16;Контрольная 7% на Новых;true;252898765;105714058691;37;36,73;1,10
10.12.2019 16:07;Целевая 7% на Новых;false;317872137;104699185040;474;473,86;33,17
02.01.2020 12:48;Целевая 6% на Отток;false;234623784;106985883346;514;310,76;18,65
22.12.2019 16:04;Целевая 7% на Новых;false;267169007;105903250707;128;127,84;8,96
03.01.2020 13:57;Целевая 7% на Новых;false;212987811;107003889754;1 288;1 288,25;90,18
17.12.2019 20:11;Целевая 7% на Новых;false;223820919;105414330964;1 501;751,41;22,54
03.12.2019 8:34;Целевая 6% на Отток;false;212699047;103885722148;1 030;515,58;30,93
01.01.2020 15:15;Целевая 7% на Новых;false;219280758;106977749720;1 599;799,51;55,97
31.12.2019 14:32;Целевая 7% на Новых;false;213315854;106907407991;246;122,89;8,60
06.12.2019 13:16;Целевая 7% на Новых;false;220750191;104236597292;41;40,96;2,87
30.12.2019 19:19;Целевая 7% на Новых;false;251142438;106810421018;2 007;1 125,81;78,81
30.12.2019 14:26;Целевая 7% на Новых;false;213530151;106786769271;267;266,97;18,69
20.12.2019 8:52;Целевая 7% на Новых;false;212697824;105658539847;28;27,97;1,95
23.12.2019 16:09;Целевая 7% на Новых;false;227703532;106014800698;59;59,33;4,15
23.12.2019 15:36;Целевая 7% на Новых;false;243661840;106011346261;167;166,68;11,67
17.12.2019 9:23;Целевая 7% на Новых;false;212908429;105364916361;40;19,78;1,38
13.12.2019 13:02;Целевая 6% на Отток;false;304265083;104996264539;285;194,76;11,70
11.12.2019 10:20;Целевая 7% на Новых;false;225487226;104760164457;1 749;1 748,74;122,41
16.12.2019 19:17;Целевая 7% на Новых;false;213512869;105302681048;248;123,90;8,67
16.12.2019 13:52;Контрольная 7% на Новых;true;203196542;105276078263;262;261,63;7,85
12.12.2019 13:46;Целевая 6% на Отток;false;221252609;104890657973;152;151,71;9,10
20.12.2019 15:40;Целевая 6% на Отток;false;216941704;105693522552;2 770;2 528,47;75,85
03.12.2019 8:46;Целевая 7% на Новых;false;213655229;103885939239;564;282,51;19,78
09.12.2019 17:15;Целевая 6% на Отток;false;285456921;104582054646;42;42,38;2,54
18.12.2019 17:09;Целевая 7% на Новых;false;234990015;105479856227;30;15,75;1,10
15.12.2019 11:01;Целевая 7% на Новых;false;212892687;105182572581;309;309,35;21,65
31.12.2019 12:41;Целевая 7% на Новых;false;226285927;106897890895;747;454,84;31,84
30.12.2019 13:08;Целевая 6% на Отток;false;214256738;106780798045;321;320,68;19,24
14.12.2019 15:03;Контрольная 7% на Новых;true;206332561;105118567388;924;923,81;27,71
08.12.2019 14:32;Целевая 6% на Отток;false;213461544;104457347138;466;232,90;13,98
29.12.2019 12:24;Целевая 6% на Отток;false;251484200;106679574494;99;49,71;2,99
17.12.2019 17:45;Целевая 7% на Новых;false;219198611;105402248726;1 772;885,95;62,03
26.12.2019 14:36;Контрольная 7% на Новых;true;226488930;106305350308;27;14,13;0,42
30.12.2019 18:54;Целевая 7% на Новых;false;232731876;106808273919;5 622;4 582,33;320,76
25.12.2019 17:10;Целевая 6% на Отток;false;213537089;106226506762;907;907,14;54,44
25.12.2019 15:51;Целевая 7% на Новых;false;218204884;106219863649;1 990;1 595,99;47,89
25.12.2019 19:28;Целевая 6% на Отток;false;237706168;106238544188;408;204,20;12,26
16.12.2019 20:37;Контрольная 7% на Новых;true;216449007;105309760996;444;223,18;6,70
16.12.2019 11:26;Контрольная 7% на Новых;true;300051898;105264013772;1 330;666,42;19,99
04.12.2019 11:08;Целевая 6% на Отток;false;224505731;104001807230;1 871;935,96;56,16
10.12.2019 10:17;Целевая 7% на Новых;false;213988951;104669187195;7;7,40;0,23
24.12.2019 10:22;Целевая 7% на Новых;false;220905007;106098881211;737;368,35;11,05
24.12.2019 9:00;Целевая 7% на Новых;false;242741758;106096305129;790;395,52;27,69
05.12.2019 16:49;Целевая 7% на Новых;false;212683855;104162000113;303;151,40;4,55
22.12.2019 15:37;Контрольная 7% на Новых;true;214609243;105901054880;441;220,36;6,61
13.12.2019 15:14;Целевая 7% на Новых;false;213247609;105007278787;1 643;822,11;57,55
31.12.2019 11:25;Контрольная 7% на Новых;true;212936571;106891360626;1 800;1 647,10;49,41
